file,id,field,what_is_needed,note,english,current_value,bengali
"adhkar.ts","protection_ayatul_kursi","benefit","much shorter than the English — looks cut","When it is said and what the cited narration says","The greatest verse in the Quran. 'Whoever recites Ayatul Kursi after every obligatory prayer, nothing stands between him and entering Paradise except death.' (Nasa'i)","কুরআনের সর্বশ্রেষ্ঠ আয়াত।",""
"adhkar.ts","protection_ikhlas","benefit","much shorter than the English — looks cut","When it is said and what the cited narration says","Equivalent to reciting one-third of the Quran. Read 1x after Dhuhr, Asr, Isha. Read 3x after Fajr and Maghrib.","কুরআনের এক-তৃতীয়াংশের সমান।",""
"duas.ts","db_027","meaning","english truncated — ends or breaks mid-text","What the du’a asks for — plain, faithful","The Messenger has believed in what was revealed to him from his Lord, and so have the believers... Our Lord, do not burden us beyond our capacity; pardon us, forgive us, and have mercy on us.","The Messenger has believed in what was revealed to him from his Lord, and so have the believers... Our Lord, do not burden us beyond our capacity; pardon us, forgive us, and have mercy on us.",""
"duas.ts","db_027","meaning","truncated — ends or breaks mid-text","What the du’a asks for — plain, faithful","The Messenger has believed in what was revealed to him from his Lord, and so have the believers... Our Lord, do not burden us beyond our capacity; pardon us, forgive us, and have mercy on us.","রাসূল তাঁর রবের পক্ষ থেকে যা অবতীর্ণ হয়েছে তাতে ঈমান এনেছেন, এবং মুমিনরাও... হে আমাদের রব, আমাদের সামর্থ্যের বাইরে বোঝা চাপাবেন না; আমাদের ক্ষমা করুন, মার্জনা করুন, এবং দয়া করুন।",""
"occasions.ts","occ_003","meaning","missing","What the du’a asks for — plain, faithful","O Allah, bring it over us with blessing and faith, safety and submission. My Lord and your Lord is Allah.","",""
"occasions.ts","occ_003","trn","missing","PRONUNCIATION in Bengali script, not a translation","Allahumma ahillahu 'alayna bil-yumni wal-imani was-salamati wal-islam, Rabbi wa Rabbukallah","",""
"surahText.ts","surah_ayatulKursi","meaning","truncated — ends or breaks mid-text","What the du’a asks for — plain, faithful","Allah! There is no deity except Him, the Ever-Living, the Sustainer of all existence. Neither drowsiness overtakes Him nor sleep. To Him belongs whatever is in the heavens and whatever is on the earth. Who is it that can intercede with Him except by His permission? He knows what is before them and what will be after them, and they encompass not a thing of His knowledge except for what He wills. His Kursi extends over the heavens and the earth, and their preservation tires Him not. And He is the Most High, the Most Great.","আল্লাহ—তিনি ছাড়া কোনো উপাস্য নেই; তিনি চিরঞ্জীব, সবকিছুর ধারক ও পালনকর্তা। তাঁকে তন্দ্রা বা নিদ্রা স্পর্শ করে না... আর তিনি সর্বোচ্চ, সুমহান।",""
"surahText.ts","surah_falaq","meaning","english truncated — ends or breaks mid-text","What the du’a asks for — plain, faithful","Say, I seek refuge in the Lord of daybreak from the evil of that which He created... and from the evil of an envier when he envies.","Say, I seek refuge in the Lord of daybreak from the evil of that which He created... and from the evil of an envier when he envies.",""
"surahText.ts","surah_falaq","meaning","truncated — ends or breaks mid-text","What the du’a asks for — plain, faithful","Say, I seek refuge in the Lord of daybreak from the evil of that which He created... and from the evil of an envier when he envies.","বলুন, আমি আশ্রয় চাই ঊষার রবের কাছে তাঁর সৃষ্ট বস্তুর অনিষ্ট থেকে... এবং হিংসুকের অনিষ্ট থেকে যখন সে হিংসা করে।",""
"surahText.ts","surah_nas","meaning","english truncated — ends or breaks mid-text","What the du’a asks for — plain, faithful","Say, I seek refuge in the Lord of mankind, the Sovereign of mankind, the God of mankind, from the evil of the retreating whisperer...","Say, I seek refuge in the Lord of mankind, the Sovereign of mankind, the God of mankind, from the evil of the retreating whisperer...",""
"surahText.ts","surah_nas","meaning","truncated — ends or breaks mid-text","What the du’a asks for — plain, faithful","Say, I seek refuge in the Lord of mankind, the Sovereign of mankind, the God of mankind, from the evil of the retreating whisperer...","বলুন, আমি আশ্রয় চাই মানুষের রব, মানুষের অধিপতি, মানুষের ইলাহর কাছে সেই পশ্চাদপসারী কুমন্ত্রণা দাতার অনিষ্ট থেকে...",""
